update,global_step,sps,recent_return,recent_yaw,recent_length,eval_reward,eval_score,eval_yaw_distance,eval_planar_drift,eval_mean_planar_drift,eval_max_planar_drift,eval_pass_count,eval_length,policy_loss,value_loss,entropy,approx_kl,yaw_neg1_score,yaw_neg1_yaw_distance,yaw_neg1_target_yaw_distance,yaw_neg1_planar_drift,yaw_neg1_mean_planar_drift,yaw_neg1_max_planar_drift,yaw_neg1_pass_gate,yaw_neg1_length,yaw_neg1_terminated,yaw_neg05_score,yaw_neg05_yaw_distance,yaw_neg05_target_yaw_distance,yaw_neg05_planar_drift,yaw_neg05_mean_planar_drift,yaw_neg05_max_planar_drift,yaw_neg05_pass_gate,yaw_neg05_length,yaw_neg05_terminated,yaw_pos05_score,yaw_pos05_yaw_distance,yaw_pos05_target_yaw_distance,yaw_pos05_planar_drift,yaw_pos05_mean_planar_drift,yaw_pos05_max_planar_drift,yaw_pos05_pass_gate,yaw_pos05_length,yaw_pos05_terminated,yaw_pos1_score,yaw_pos1_yaw_distance,yaw_pos1_target_yaw_distance,yaw_pos1_planar_drift,yaw_pos1_mean_planar_drift,yaw_pos1_max_planar_drift,yaw_pos1_pass_gate,yaw_pos1_length,yaw_pos1_terminated
34,17408,248,-262.5594818115234,2.14633594751358,80.0,-81.15849393293591,8.895698554023454,2.273558647122409,0.022768680928278693,0.01098631982965547,0.03034012088366003,1,80.0,-0.001631910097785294,1140.5063171386719,-1.7464351058006287,0.0007711016514804214,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.895698554023454,2.273558647122409,2.88,0.022768680928278693,0.01098631982965547,0.03034012088366003,1,80,0
35,17920,249,-263.23691192626956,2.155202739238739,80.0,nan,nan,nan,nan,nan,nan,0,nan,-1.2903474271297455e-06,1729.9297332763672,-1.746952936053276,0.0003810627677012235,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
36,18432,250,-268.29838592529296,2.136159281730652,80.0,-112.94583568653093,8.388967714888041,2.2077495628046018,0.022212818226969477,0.013736634256912291,0.03170414912685038,1,80.0,-0.002787067089229822,1317.9404602050781,-1.7473352998495102,0.00041086997953243554,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.388967714888041,2.2077495628046018,2.88,0.022212818226969477,0.013736634256912291,0.03170414912685038,1,80,0
37,18944,252,-274.9182711791992,2.116334466934204,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0007475384045392275,1373.4390258789062,-1.747769057750702,0.00040591671131551266,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
38,19456,253,-276.35936584472654,2.123756136894226,80.0,-89.38256157879393,8.886463314970836,2.2102670559259336,0.004367043025384924,0.00959014429483258,0.02431861738324158,1,80.0,-0.001802176469936967,1245.2501068115234,-1.748072475194931,0.00037065494689159095,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.886463314970836,2.2102670559259336,2.88,0.004367043025384924,0.00959014429483258,0.02431861738324158,1,80,0
39,19968,255,-271.2808938598633,2.1077062249183656,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.00198587728664279,584.6650466918945,-1.748013198375702,0.0005847897264175117,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
40,20480,253,-264.2718881225586,2.1243753099441527,80.0,-104.81937284365871,8.522123986872597,2.26641110969453,0.028748194600672416,0.013595632194328449,0.038211963793852444,1,80.0,-0.0025262412091251463,581.6955642700195,-1.7484685629606247,0.0008371963340323418,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.522123986872597,2.26641110969453,2.88,0.028748194600672416,0.013595632194328449,0.038211963793852444,1,80,0
41,20992,253,-259.537966003418,2.133078541755676,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0036134475958533585,843.4213638305664,-1.7489170581102371,0.0007698094414081424,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
42,21504,237,-250.15000762939454,2.1323713660240173,80.0,-115.93945557720922,8.679621724370842,2.2520942053209567,0.022949358079805388,0.013215249535216361,0.03135706648810333,1,80.0,-0.0012368735624477267,597.8145751953125,-1.7501459419727325,0.0008800188661552966,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,8.679621724370842,2.2520942053209567,2.88,0.022949358079805388,0.013215249535216361,0.03135706648810333,1,80,0
43,22016,229,-254.22915710449217,2.132964951992035,80.0,nan,nan,nan,nan,nan,nan,0,nan,-0.0017283884808421135,1202.7662811279297,-1.751549482345581,0.0003397757245693356,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0
